Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0027055;Alienware Gaming Mouse Com Fio Aw320m 19000 Dpi Preto;367;https://http2.mlstatic.com/D_697422-MLU73214135943_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028001;USB WIRELLES WN 823N 300 MBPS;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028002;Adaptador USB Wireless de Alto Ganho 300Mbps TL-WN822N TP-Link;129;https://http2.mlstatic.com/D_824463-MLB53605490536_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028006;Adaptador Archer T2u Nano Usb Wi-fi Wireless Ac600 Tp-link;139;https://http2.mlstatic.com/D_662438-MLB49108945227_022022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028015;Switch Tp-link Tl-sg1016d;571;https://http2.mlstatic.com/D_745148-MLB71035458802_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028016;Roteador Tp-link Tl-wr949n Preto;219;https://http2.mlstatic.com/D_686438-MLA40174747984_122019-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028018;Adaptador Usb Wireless Tp Link Ac600 Wi-fi Dual 2.4ghz 5ghz;140;https://http2.mlstatic.com/D_647497-MLB71494848408_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028018-1;Adaptador Ethernet Gigabit Tp-link Ue300 Usb 3.0 P/ Rj45;129,9;https://http2.mlstatic.com/D_982775-MLB74422768379_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028019;Adaptador Ethernet Tp-link Ue300 Usb 3.0 P/ Lan Rj45 Gigabit;150;https://http2.mlstatic.com/D_976373-MLB71495806640_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028021;ROTEADOR WIRELESS MULTIMODO 300 MBPS TL-WR829N TP-LINK;130;https://http2.mlstatic.com/D_817010-MLU72847806019_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028024;Roteador, Wds Bridge Tp-link Tl-mr3420 V5 Branco 220v;169;https://http2.mlstatic.com/D_749935-MLA48415556864_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028025;TP LINK TL-MR 3420;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028031;Roteador, Wds Bridge Tp-link Archer C5 W V4 Branco;249;https://http2.mlstatic.com/D_902690-MLA40943567841_022020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028032;Roteador, Wmm Tp-link Archer Ax10 V1.20 Preto 220v;505;https://http2.mlstatic.com/D_854427-MLU72604608255_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028033;Roteador Wi-fi 6 Gigabit Ax23 One Mesh Dual Band Tp Link;589;https://http2.mlstatic.com/D_709737-MLU70065230163_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028034;Roteador Wireless Tp-link Archer C64 Gigabit Mu-mimo Ac1200;299;https://http2.mlstatic.com/D_834000-MEC51229149137_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028035;Access Point, Roteador Tp-link Archer C80 V1 Preto 220v;419;https://http2.mlstatic.com/D_752612-MLA45157161607_032021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028036;ROT. MERCUSYS DUAL BAND AC1200 MR30G 2;269;https://http2.mlstatic.com/D_887048-MLA53366720118_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028037;ROT TPLINK DUAL AC1200 ARCHER EC220-G5 2;299;https://http2.mlstatic.com/D_845611-MLU72700920593_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028038;Roteador Tp-link Archer Ax55 Wi-fi 6 Ax3000 Dualband - Preto - 110V/240V;640;https://http2.mlstatic.com/D_823686-MLU73785519978_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028039;Roteador Wireless Mu-mimo Ac1300 Archer C6 Tp-link Bivolt Cor Preto 110v/220v;335;https://http2.mlstatic.com/D_938254-MLB50005819266_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028040;Roteador Ax6600 Tri-band Wi-fi 6 Archer Ax90 Tp-link 4.8gbs;1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028994;Access Point Indoor, Wmm Ubiquiti Unifi Ac Lite Uap-ac-lite Branco 220v 5 Unidades;3859;https://http2.mlstatic.com/D_887456-MLA51699207240_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028996;Access Point Outdoor, Access Point Indoor Ubiquiti Unifi Ac Pro Ap Uap-ac-pro Branco 5 Unidades;6499;https://http2.mlstatic.com/D_656928-MLA74220109911_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028997;Access Point Outdoor, Access Point Indoor Ubiquiti Unifi Ac Pro Ap Uap-ac-pro Branco 4 Unidades;5199;https://http2.mlstatic.com/D_656928-MLA74220109911_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0028998;Access Point Indoor, Wmm Ubiquiti Unifi Ac Lite Uap-ac-lite Branco 220v 5 Unidades;4199;https://http2.mlstatic.com/D_887456-MLA51699207240_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029000;Ubiquiti Unifi AP AC PRO - UAP-AC-PRO (c/ fonte POE);1379;https://http2.mlstatic.com/D_758086-MLA43167718877_082020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029001;Access Point Indoor Ubiquiti Networks Unifi Ac Lite Ap Uap-a;0;https://http2.mlstatic.com/D_744283-MLA44112200827_112020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029002;Access Point, Wmm Ubiquiti Unifi Ac In-wall Uap-ac-iw Branco 220v;1899;https://http2.mlstatic.com/D_799701-MLA43546156139_092020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029002-2;Access Point Ubiquiti Unifi U6 In-wall U6-iw Branco;1749;https://http2.mlstatic.com/D_873386-MLA74197819501_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029003;ACCESS POINT UBIQUITI U6LR UNIFI WIFI 6 DUAL BAND 3000 MBPS LONG RANGE POE SINJETOR;1919,49;https://http2.mlstatic.com/D_786066-MLA50294082797_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029003-1;Ubnt U6-lr +Fonte Unifi Ap Ac 4x4 Wifi 6 2.4/5ghz 3gbps - Branco;1689;https://http2.mlstatic.com/D_786066-MLA50294082797_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029003-3;Kit Unifi 1x U6lr+fonte Poe 5x Unifi U6lite + Fonte Poe Cor Preto;7249;https://http2.mlstatic.com/D_689608-MLU70653716642_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029004;Access Point Indoor Ubiquiti Unifi U6 Lite Branco;889;https://http2.mlstatic.com/D_947312-MLA48277608104_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029004-1;Access Point Ubiquiti Unifi U6-lite + Injetor Poe 48v Branco;989;https://http2.mlstatic.com/D_913287-MLU72637033143_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029005;ACCESS POINT UBIQUITI U6PRO UNIFI WIFI 6 DUAL BAND 5300 MBPS POE SINJETOR;1399;https://http2.mlstatic.com/D_863858-MLB52050562680_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029005-1;Access Point Ubiquiti U6-pro2.4/5.0ghz 574mbps + Injetor Poe;1499;https://http2.mlstatic.com/D_963224-MLU70528096511_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029006;Access Point Indoor, Wmm Ubiquiti Unifi Uap-nanohd Branco 220v;1280,5;https://http2.mlstatic.com/D_911189-MLU72607350217_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029006-1;Access Point Indoor, Wmm Ubiquiti Unifi Uap-nanohd Branco 220v 5 Unidades;7499;https://http2.mlstatic.com/D_660119-MLA51916592109_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029007;AC MESH PRO;1649;https://http2.mlstatic.com/D_696075-MLA47073086277_082021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029008;ACCESS POINT UBIQUITI U6MESH UNIFI WIFI 6 DUAL BAND 5300 MBPS POE;2199;https://http2.mlstatic.com/D_651980-MLB52006180273_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029009;Access Point Tp-link Omada Eap610 22 Branco;793;https://http2.mlstatic.com/D_602850-MLU73983533632_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029010;Access Point Wireless Dual Band Tp-link Eap620 Hd;1079;https://http2.mlstatic.com/D_714227-MLB74244417793_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029011;TP-Link Kit Extensor Wifi Powerline Av600 600 Mbit / s (5 GHz), 300 Mbit / s (2,4 GHz) - 3 dispositivos;435,5;https://http2.mlstatic.com/D_613936-MLB52030625351_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029011-1;Range Extender, Adaptador Powerline Tp-link Tl-wpa4220kit V1 Branco 220v 2 Unidades;329;https://http2.mlstatic.com/D_813436-MLU73207882077_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029012;TP-Link CONTROLADOR CLOUD OMADA PRA GERENCIAMENTO DE ATE 50 UNIDADES OC200(UN), Preta;839;https://http2.mlstatic.com/D_970848-MLB74134560882_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029013;CONTROLADORA TP LINK OC300 10/100/1000;1378;https://http2.mlstatic.com/D_705537-MLB74244299371_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029014;Ubiquiti Unifi Uck-g2-plus;1749;https://http2.mlstatic.com/D_833037-MLB74111701416_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029015;Access Point Indoor, Roteador Ubiquiti Unifi Udm Branco 100v/240v;2799;https://http2.mlstatic.com/D_609505-MLA45570366330_042021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029016;Roteador Switch Nvr Unifi Dream Machine Pro Udm Br Cor Prata;3499;https://http2.mlstatic.com/D_919981-MLU70079940280_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029017;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco E4 Branco 100v/240v;319;https://http2.mlstatic.com/D_624966-MLA43260679237_082020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029018;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco E4 Branco 100v/240v 2 Unidades;549;https://http2.mlstatic.com/D_705040-MLU72628453332_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029019;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco E4 Branco 100v/240v 3 Unidades;849;https://http2.mlstatic.com/D_773193-MLU72534493694_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029020;ROTEADOR TP-LINK DECO M4 MESH GIGABIT DUAL-BAND AC1200;364;https://http2.mlstatic.com/D_832875-MLA48416195077_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029021;Kit Roteador Wireless Deco M4 Ac1200 Tp-link 02 Unidades;769;https://http2.mlstatic.com/D_655680-MLU73295616910_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029022;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco Deco M4 V1 Branco E Preto 100v/240v 3 Unidades;1149;https://http2.mlstatic.com/D_914540-MLU70991990336_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029023;Roteador Mesh TP-Link Deco M5 AC1300 Dual Band, Branco, Pequena, DECO M5(1-PACK);495;https://http2.mlstatic.com/D_788002-MLA49896775373_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029024;Access Point, Wmm Tp-link Omada Eap660 Hd V1 Branco;1849;https://http2.mlstatic.com/D_618696-MLU74117419198_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029028;Sistema Wi-fi Mesh, Wmm Tp-link Deco Deco M9 Plus V2 Branco 220v 3 Unidades;3049;https://http2.mlstatic.com/D_833524-MLA48165299138_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029029;RoteadorTp-link Mesh Deco X20 Whole Home Wi-fi 6 Ax1800 (1 Pack);719,7;https://http2.mlstatic.com/D_845316-MLA47064396070_082021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029030;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco X20 Branco 220v 2 Unidades;1549;https://http2.mlstatic.com/D_907590-MLA47064396068_082021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029031;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco Deco X20 V1 Branco 100v/240v 3 Unidades;2349;https://http2.mlstatic.com/D_948690-MLA48407799921_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029032;Roteador Gamer Wireless TP-Link - Wifi 6 AX3000 - Deco X60 Mesh - (Pack c/ 1);916,5;https://http2.mlstatic.com/D_647063-MLA48121158698_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029033-2;Sistema Wi-fi Mesh, Roteador, Access Point Tp-link Deco Deco X90 V1 Branco 100v/240v 2 Unidades;2949;https://http2.mlstatic.com/D_798137-MLA48279792087_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029035;Fonte Para Ubiquiti Unifi Poe 48v 24w 0.5 Amp Poe-48-24w;189;https://http2.mlstatic.com/D_866432-MLB52165057478_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029035-5;Fonte Ubiquiti U-poe-af-br Poe 48v 0.5a - Unifi ;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029036;Ubiquiti Nbe-m5-19-br 5ghz Nanobeam 19dbi Airmax;569;https://http2.mlstatic.com/D_724995-MLB52071136999_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029037;Ubiquiti Nbe-m5-16-br 5ghz Nanobeam 16dbi;489;https://http2.mlstatic.com/D_823269-MLB52070753620_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029038;Roteador Ubiquiti Edgerouter X Er-x Preto;439;https://http2.mlstatic.com/D_803209-MLA74113029646_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029039;TP-Link ROTEADOR VPN GIGABIT MULTI-WAN TL-ER7206 SMB, Preto;968;https://http2.mlstatic.com/D_935903-MLU74134685934_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029040;Access Point Outdoor, Ptp, Ptmp Ubiquiti Rocket R5ac-lite Branco;1149;https://http2.mlstatic.com/D_652984-MLU72747463042_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029041;Ubiquiti Lbe-5ac-gen2-br Litebeam 23dbi 450mbps Lite Beam;699;https://http2.mlstatic.com/D_933453-MLB52285010637_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029042;Ubiquiti Litebeam M5 23dbi Lite Beam Com Fonte Poe = Airgrid;439;https://http2.mlstatic.com/D_947660-MLB52285432533_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029043;Sistema Wi-fi Mesh, Access Point, Roteador, Wmm Tp-link Deco Deco X60 V3 Branco 100v/240v 2 Unidades;1939;https://http2.mlstatic.com/D_759325-MLA51616434738_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029044;Sistema Wi-fi Mesh, Access Point, Roteador, Wmm Tp-link Deco Deco X60 V3 Branco 100v/240v 3 Unidades;2799;https://http2.mlstatic.com/D_713917-MLA48121275211_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029045;Access Point, Roteador, Sistema Wi-fi Mesh Tp-link Deco M5 Branco 100v/240v 2 Unidades;990;https://http2.mlstatic.com/D_940669-MLU72748593069_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029046;Sistema Wi-fi Mesh, Access Point, Roteador, Wmm Tp-link Deco Deco M5 V3 Branco 220v 3 Unidades;1469;https://http2.mlstatic.com/D_704579-MLA48408930486_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029047;Access Point Corporativo Tp-link Eap225-outdoor Ac1200;829;https://http2.mlstatic.com/D_676417-MLU74221432487_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029048;EAP245 - ACCESS POINT WIRELESS DUAL BAND GIGABIT MONTAVEL EM TETO AC1750;871;https://http2.mlstatic.com/D_715004-MLA43764055201_102020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029049;TP-Link Access Point Wireless Gigabit EAP225, MU-MIMO, Dual Band AC1350, Montável em Teto, Seamless Roaming;663;https://http2.mlstatic.com/D_635946-MLA45229277455_032021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029050;Access Point Outdoor, Access Point Indoor, Sistema Wi-fi Mesh Ubiquiti Unifi Ac Mesh Uap-ac-m Branco;909;https://http2.mlstatic.com/D_784594-MLU72643781143_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029051;Access Point, Ptp, Ptmp Ubiquiti Airmax 5ac Loco Loco5ac Branco;459;https://http2.mlstatic.com/D_986307-MLA52223852834_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029052;Access Point Ubiquiti Wifi U6-enterprise Branco;2649;https://http2.mlstatic.com/D_963306-MLA74140585107_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029053;Roteador Tp-link Load Balance Router Multi-wan Vpn Tl-er605;499;https://http2.mlstatic.com/D_827578-MLB48648683961_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029054;Access Point Ubiquiti Unifi Uapachd Branco;2539;https://http2.mlstatic.com/D_809959-MLU72637427549_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029055;Access Point Indoor Ubiquiti Unifi Uap-ac-lr Branco 24v;919;https://http2.mlstatic.com/D_716327-MLA50232947741_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029056;ACCESS POINT UBIQUITI U6+ UNIFI WIFI 6 DUAL BAND 3000 MBPS POE SINJETOR;879;https://http2.mlstatic.com/D_860457-MLU71330568737_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029057;Antena Ubiquiti Airmax Powerbeam Pbe-m5-400 5ghz 25dbi;634,62;https://http2.mlstatic.com/D_935926-MLB71976290253_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029058;Roteador Wi-fi Mesh Dual-band Ac1900 Deco S7 Tp-link Cor Branco 110v/220v;399;https://http2.mlstatic.com/D_908152-MLU72561276467_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029059;Roteador Tp-link Deco S7 PACK 2  1.0 Branco 100v/240v;920;https://http2.mlstatic.com/D_958137-MLU74450017741_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029060;Roteador Tp-link Deco S7, Wi-fi, Gigabit Ethernet- 3pack Cor Branco 110v/220v;1060;https://http2.mlstatic.com/D_973581-MLU72700306035_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029998;Switch Mikrotik Crs326-24s+2q+rm;4870;https://http2.mlstatic.com/D_716532-MLB72050110282_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029999;Cloud Router Switch Crs326-24g-2s+rm Mikrotik;1779;https://http2.mlstatic.com/D_707727-MLU74117415352_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030000;Mikrotik Cloud Smart Switch Css326-24g-2s+rm;1979;https://http2.mlstatic.com/D_781645-MLB52336002212_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030001;Roteador, Bridge Mikrotik Routerboard Rb3011uias-rm Preto 100v/240v;1399;https://http2.mlstatic.com/D_833383-MLA74110447916_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030002;MikroTik RB4011iGS+5HacQ2HnD-IN;2041;https://http2.mlstatic.com/D_741755-MLA40944407143_022020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030003;Roteador Mikrotik Rb5009ug+s+in Preto 100v/240v;1799;https://http2.mlstatic.com/D_739095-MLA74227124799_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030004;Roteador Mikrotik Hex Router Board com Case RB750GR3;519;https://http2.mlstatic.com/D_689325-MLA46653221658_072021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030004-1;Mikrotik Routerboard Rb 750 R2 Hex Lite 850mhz 64mb;359;https://http2.mlstatic.com/D_740128-MLB74438926541_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030004-2;Roteador Mikrotik Routerboard Hex Poe Lite Rb750upr2 Branco E Azul-turquesa 100v/240v;459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030005;Routerboard Rb760igs (hex S) Mikrotik;599;https://http2.mlstatic.com/D_617370-MLA74110422610_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030006;RBcAPGi-5acD2nD-XL Cap Ac Xl;747,5;https://http2.mlstatic.com/D_618053-MLB74235434620_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030006-1;Access Point Indoor, Repetidor Mikrotik Cap Ac Rbcapgi-5acd2nd Branco 100v/240v;619;https://http2.mlstatic.com/D_908045-MLB74235181456_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030007;Mikrotik LAN Wireless RB912UAG-5HPND-OUT;1100;https://http2.mlstatic.com/D_980396-MLA40338079172_012020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030008;Access Point Outdoor Mikrotik Routerboard Netmetal 5 Rb922uags-5hpacd-nm Preto 100v/240v;1229;https://http2.mlstatic.com/D_650338-MLA41161048733_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030009;Sistema Wi-fi Mesh Huawei Wifi Mesh 3 Ws8100 Branco 100v/240v;539;https://http2.mlstatic.com/D_650554-MLU72894845016_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030010;Roteador Mikrotik route c/case RB2011UIAS+RM;940;https://http2.mlstatic.com/D_924970-MLA74244290247_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030010-1;Roteador Mikrotik Routerboard Rb2011uias-in Preto E Vermelho 100v/240v;969;https://http2.mlstatic.com/D_986686-MLA74112949320_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030011;"ROT HUAWEI AX 3000 WS8100 MESH 3 (PCK 2)	";942;https://http2.mlstatic.com/D_956307-MLB68845391244_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030011-1;Roteador Huawei Wifi Mesh 3 6+ Ax3000 Mbps. PACK 3 , mandar um 2 e Um 1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030012;Portas Ethernet Mikrotik RB260GSP 5 Gigabit e uma gaiola SFP;450;https://http2.mlstatic.com/D_689008-MLB52872271039_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030013;Mikrotik CRS328-24P-4S+RM;3999;https://http2.mlstatic.com/D_886383-MLB53224873056_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030014;MikroTik CRS354-48G-4S+2Q+RM;4099;https://http2.mlstatic.com/D_638243-MLB53224931819_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0030015;Mikrotik Smart Switch Crs328-4c-20s-4s+rm L5;3480;https://http2.mlstatic.com/D_948717-MLB53338832671_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
